,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
201,3498.20512661,3558.97435752,3519.10256258,3524.61538309,3497.6923061,3465.25640859,4184.61538448,3473.58974193,3449.61538295,3482.05128046,3487.94871635,3482.05128046,3514.10256258,3482.43589584
202,3594.87179349,3640.12820381,3619.6153833,3610.25640894,3600.51281913,3574.48717803,4184.74358961,3562.82051137,3535.89743437,3586.79487041,3582.05128067,3582.17948579,3611.15384484,3590.76922938
203,3655.12820388,3671.41025516,3673.07692183,3653.07692183,3667.43589619,3650.76922952,4184.99999986,3629.35897304,3595.384614,3658.97435773,3640.25640894,3639.99999868,3682.43589626,3664.10256286
204,3715.64102453,3752.17948614,3729.10256299,3722.05128094,3721.4102553,3705.89743472,4182.82051269,3696.53846036,3665.38461414,3716.66666556,3704.99999882,3685.25640908,3736.79487069,3709.99999889
205,3729.48717838,3782.17948621,3740.76922966,3741.5384605,3718.97435787,3716.66666556,4183.07692294,3709.61538351,3680.89743472,3724.23076812,3716.28205017,3688.33333216,3731.02563992,3711.28205017
206,3802.5641016,3833.33333243,3810.76922987,3793.71794775,3786.15384518,3808.46153756,4182.30769217,3787.30769134,3756.79487076,3798.97435801,3780.64102467,3763.97435794,3803.71794775,3795.38461442
207,3817.05128115,3838.20512731,3823.33333243,3789.8717939,3788.46153749,3811.28205038,4181.66666653,3804.74358877,3773.20512717,3806.6666657,3785.64102467,3778.07692211,3823.97435807,3811.66666577
208,3830.51281961,3862.17948635,3831.41025551,3813.07692218,3793.20512724,3817.82051192,4181.15384602,3819.61538372,3782.05128108,3808.58974269,3805.38461442,3786.92307595,3839.61538372,3813.46153756
209,3786.02564006,3816.41025551,3777.05128108,3781.79487083,3784.8717939,3770.38461435,4182.69230756,3782.82051185,3741.5384605,3778.97435801,3774.74358877,3744.23076819,3801.41025544,3772.17948614
210,3732.82051171,3753.84615281,3726.66666556,3729.10256299,3755.25640922,3699.61538344,4183.07692294,3715.64102453,3683.33333216,3723.84615274,3713.33333223,3693.0769219,3740.38461428,3719.61538351
211,3752.69230665,3768.33333229,3749.48717845,3736.28205017,3722.05128094,3711.92307582,4183.46153833,3724.10256299,3695.76922959,3728.71794761,3722.43589633,3706.53846036,3762.05128101,3732.69230658
212,3666.15384491,3682.05128087,3659.87179362,3649.10256286,3617.94871663,3664.61538337,4185.51282038,3653.58974234,3613.97435766,3662.0512808,3645.51281927,3622.8205115,3686.66666549,3653.97435773
213,3576.1538447,3595.25640887,3574.10256265,3571.92307547,3575.64102419,3609.74358836,4187.69230756,3572.17948572,3528.58974206,3599.35897297,3569.61538316,3544.99999854,3587.43589605,3571.92307547
214,3489.74358815,3510.64102405,3491.15384456,3485.12820353,3498.97435738,3502.30769071,4188.46153833,3474.74358808,3431.53845981,3500.25640866,3482.82051123,3459.48717782,3494.48717789,3487.05128046
215,3444.61538288,3469.87179321,3441.66666493,3435.12820339,3429.35897263,3421.79487006,4186.79487166,3433.97435724,3390.89743409,3447.43589577,3424.99999827,3409.23076743,3461.15384449,3446.28204962
